,Calendar,Calendar color,Event,Duration,Duration seconds,Start time,End time
0,tachkov.maksim@gmail.com,#fad165,Фото на альбом,1:00:00,3600.0,2023-01-12 19:00:00+03:00,2023-01-12 20:00:00+03:00
1,tachkov.maksim@gmail.com,#fad165,PolyLabs,0,0.0,0,0
2,tachkov.maksim@gmail.com,#fad165,Сантехник,0:30:00,1800.0,2023-02-01 12:00:00+03:00,2023-02-01 12:30:00+03:00
3,tachkov.maksim@gmail.com,#fad165,Пеша,2:15:00,8100.0,2023-02-03 19:30:00+03:00,2023-02-03 21:45:00+03:00
4,tachkov.maksim@gmail.com,#fad165,Выставка Балабанов,1:00:00,3600.0,2023-02-14 12:00:00+03:00,2023-02-14 13:00:00+03:00
5,tachkov.maksim@gmail.com,#fad165,Мама,1:00:00,3600.0,2023-02-12 19:30:00+03:00,2023-02-12 20:30:00+03:00
6,tachkov.maksim@gmail.com,#fad165,Парикмахерская,0:30:00,1800.0,2023-02-21 17:00:00+03:00,2023-02-21 17:30:00+03:00
7,tachkov.maksim@gmail.com,#fad165,Пламя,3:00:00,10800.0,2023-03-03 18:00:00+03:00,2023-03-03 21:00:00+03:00
8,tachkov.maksim@gmail.com,#fad165,Песенный,2:00:00,7200.0,2023-03-05 19:00:00+03:00,2023-03-05 21:00:00+03:00
9,tachkov.maksim@gmail.com,#fad165,Школа Яндекс | 1 этап,0,0.0,0,0
10,tachkov.maksim@gmail.com,#fad165,Кукина,1:00:00,3600.0,2023-03-03 11:00:00+03:00,2023-03-03 12:00:00+03:00
11,tachkov.maksim@gmail.com,#fad165,Пламя,2:00:00,7200.0,2023-03-15 19:00:00+03:00,2023-03-15 21:00:00+03:00
12,tachkov.maksim@gmail.com,#fad165,Павел Недвига,1:00:00,3600.0,2023-03-26 12:00:00+03:00,2023-03-26 13:00:00+03:00
13,00_DeadLines,#f83a22,Кукина | КР,0,0.0,0,0
14,00_DeadLines,#f83a22,Школяр | КП,0,0.0,0,0
15,00_DeadLines,#f83a22,Школяр | ЗО,0,0.0,0,0
16,00_DeadLines,#f83a22,НИР | ИП и титул у Петроченко,0,0.0,0,0
17,00_DeadLines,#f83a22,НИР,0,0.0,0,0
18,00_DeadLines,#f83a22,Вентиляция | З,0,0.0,0,0
19,00_DeadLines,#f83a22,НИР | З,0,0.0,0,0
20,00_DeadLines,#f83a22,Статья,0,0.0,0,0
21,00_DeadLines,#f83a22,Упр. пр. | Э,0,0.0,0,0
